model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc,true_positives,true_positives_rate,false_positives,false_negatives,true_negatives
SimplifiedDenseNetV1_2,Atelectasis,2025-04-20 12:51:57,0.8722547108512021,0.34347275031685676,0.15764979639325188,0.21610845295055822,0.7335900475773889,271,0.01760883690708252,518,1448,13153
SimplifiedDenseNetV1_2,Cardiomegaly,2025-04-20 12:51:57,0.968615984405458,0.38144329896907214,0.26811594202898553,0.3148936170212766,0.8556077001785789,111,0.007212475633528265,180,303,14796
SimplifiedDenseNetV1_2,Consolidation,2025-04-20 12:51:57,0.9547758284600389,0.32,0.011644832605531296,0.02247191011235955,0.7610914446655125,8,0.0005198180636777127,17,679,14686
SimplifiedDenseNetV1_2,Edema,2025-04-20 12:51:57,0.9714749837556855,0.22598870056497175,0.11695906432748537,0.15414258188824662,0.8329864900155758,40,0.002599090318388564,137,302,14911
SimplifiedDenseNetV1_2,Effusion,2025-04-20 12:51:57,0.8694606887589343,0.4931581828133552,0.45413306451612906,0.4728417738126476,0.8436671726790606,901,0.058544509421702404,926,1083,12480
SimplifiedDenseNetV1_2,Emphysema,2025-04-20 12:51:57,0.9732943469785575,0.3684210526315789,0.13031914893617022,0.1925343811394892,0.833762690283395,49,0.003183885640025991,84,327,14930
SimplifiedDenseNetV1_2,Fibrosis,2025-04-20 12:51:57,0.9833008447043535,0.0,0.0,0.0,0.6939985467036597,0,0.0,5,252,15133
SimplifiedDenseNetV1_2,Hernia,2025-04-20 12:51:57,0.9978557504873294,1.0,0.029411764705882353,0.05714285714285714,0.7438939368401698,1,6.49772579597141e-05,0,33,15356
SimplifiedDenseNetV1_2,Infiltration,2025-04-20 12:51:57,0.7617283950617284,0.3392698130008905,0.2587436332767402,0.2935850510498941,0.6530979024174961,762,0.04951267056530215,1484,2183,10961
SimplifiedDenseNetV1_2,Mass,2025-04-20 12:51:57,0.9382066276803119,0.3783783783783784,0.16260162601626016,0.22745735174654752,0.7639157185648727,140,0.009096816114359974,230,721,14299
SimplifiedDenseNetV1_2,No Finding,2025-04-20 12:51:57,0.6705003248862897,0.6851773944748282,0.633558091286307,0.6583574749039951,0.7247130245763344,4886,0.3174788823911631,2245,2826,5433
SimplifiedDenseNetV1_2,Nodule,2025-04-20 12:51:57,0.9353476283300844,0.26548672566371684,0.03184713375796178,0.05687203791469194,0.6522050745568557,30,0.001949317738791423,83,912,14365
SimplifiedDenseNetV1_2,Pleural_Thickening,2025-04-20 12:51:57,0.9642625081221572,0.11666666666666667,0.013888888888888888,0.024822695035460994,0.7236971219362393,7,0.0004548408057179987,53,497,14833
SimplifiedDenseNetV1_2,Pneumonia,2025-04-20 12:51:57,0.9862897985705004,0.0,0.0,0.0,0.6932754126195176,0,0.0,0,211,15179
SimplifiedDenseNetV1_2,Pneumothorax,2025-04-20 12:51:57,0.9416504223521768,0.4065180102915952,0.30038022813688214,0.3454810495626822,0.831042615707086,237,0.015399610136452241,346,552,14255
