model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc,true_positives,true_positives_rate,false_positives,false_negatives,true_negatives
DenseNetV6_1,Atelectasis,2025-06-20 18:26:18,0.8250812215724497,0.25342118601115055,0.29086678301337987,0.27085590465872156,0.7047790661361406,500,0.03248862897985705,1473,1219,12198
DenseNetV6_1,Cardiomegaly,2025-06-20 18:26:18,0.9653021442495127,0.34293193717277487,0.3164251207729469,0.32914572864321606,0.8470735140798545,131,0.008512020792722548,251,283,14725
DenseNetV6_1,Consolidation,2025-06-20 18:26:18,0.9267706302794022,0.1345514950166113,0.11790393013100436,0.1256788207913111,0.7236161984983408,81,0.005263157894736842,521,606,14182
DenseNetV6_1,Edema,2025-06-20 18:26:18,0.9701754385964912,0.2328767123287671,0.14912280701754385,0.18181818181818182,0.8284050492614665,51,0.003313840155945419,168,291,14880
DenseNetV6_1,Effusion,2025-06-20 18:26:18,0.8568551007147498,0.4497014239779513,0.4934475806451613,0.47055996154770485,0.8286329236006507,979,0.0636127355425601,1198,1005,12208
DenseNetV6_1,Emphysema,2025-06-20 18:26:18,0.9705003248862898,0.2925531914893617,0.14627659574468085,0.1950354609929078,0.8008617488925232,55,0.0035737491877842753,133,321,14881
DenseNetV6_1,Fibrosis,2025-06-20 18:26:18,0.9763482781026641,0.1111111111111111,0.06349206349206349,0.08080808080808081,0.6912581498887483,16,0.0010396361273554255,128,236,15010
DenseNetV6_1,Hernia,2025-06-20 18:26:18,0.9982456140350877,0.7058823529411765,0.35294117647058826,0.47058823529411764,0.8937299848306084,12,0.0007797270955165692,5,22,15351
DenseNetV6_1,Infiltration,2025-06-20 18:26:18,0.7794671864847303,0.37562326869806095,0.2302207130730051,0.2854736842105263,0.6380956070888479,678,0.04405458089668616,1127,2267,11318
DenseNetV6_1,Mass,2025-06-20 18:26:18,0.927030539311241,0.3056379821958457,0.23925667828106853,0.26840390879478826,0.7505503231192308,206,0.013385315139701105,468,655,14061
DenseNetV6_1,Nodule,2025-06-20 18:26:18,0.9283300844704353,0.17408906882591094,0.045647558386411886,0.07232968881412952,0.6177262392637892,43,0.0027940220922677062,204,899,14244
DenseNetV6_1,Pleural_Thickening,2025-06-20 18:26:18,0.9542560103963613,0.15753424657534246,0.09126984126984126,0.11557788944723618,0.6984506855274691,46,0.0029889538661468486,246,458,14640
DenseNetV6_1,Pneumonia,2025-06-20 18:26:18,0.9831708901884341,0.05555555555555555,0.014218009478672985,0.022641509433962263,0.6683373043763068,3,0.0001949317738791423,51,208,15128
DenseNetV6_1,Pneumothorax,2025-06-20 18:26:18,0.9375568551007147,0.3696969696969697,0.30925221799746516,0.336783988957902,0.8147727003437184,244,0.01585445094217024,416,545,14185
