model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc
Simplified_DenseNet_v5,Atelectasis,2025-03-20 11:57:35,0.8857309713840763,0.3561643835616438,0.030250145433391506,0.055764075067024126,0.6889503082610074
Simplified_DenseNet_v5,Cardiomegaly,2025-03-20 11:57:35,0.963143209395886,0.29442970822281167,0.2687651331719128,0.2810126582278481,0.8245627262004587
Simplified_DenseNet_v5,Consolidation,2025-03-20 11:57:35,0.9554214522094607,0.5,0.001455604075691412,0.002902757619738752,0.7253482515945014
Simplified_DenseNet_v5,Edema,2025-03-20 11:57:35,0.9567192265265071,0.13808463251670378,0.18128654970760233,0.15676359039190899,0.8140023727112592
Simplified_DenseNet_v5,Effusion,2025-03-20 11:57:35,0.8756083317111154,0.5380249716231555,0.23891129032258066,0.3308900523560209,0.7941041552048472
Simplified_DenseNet_v5,Emphysema,2025-03-20 11:57:35,0.9719680747518007,0.29411764705882354,0.10638297872340426,0.15625,0.7605120852761996
Simplified_DenseNet_v5,Fibrosis,2025-03-20 11:57:35,0.9836480436052171,0.0,0.0,0.0,0.6527107632638999
Simplified_DenseNet_v5,Hernia,2025-03-20 11:57:35,0.922328207124781,0.013389121338912133,0.47058823529411764,0.026037428803905614,0.7033212322452556
Simplified_DenseNet_v5,Infiltration,2025-03-20 11:57:35,0.6685484394263838,0.26543878656554715,0.4162419300033979,0.3241598306430273,0.612622135296328
Simplified_DenseNet_v5,Mass,2025-03-20 11:57:35,0.9441957043670106,0.6666666666666666,0.0023228803716608595,0.004629629629629629,0.6659744722631319
Simplified_DenseNet_v5,No Finding,2025-03-20 11:57:35,0.4992537797676984,0.0,0.0,0.0,0.714409401138177
Simplified_DenseNet_v5,Nodule,2025-03-20 11:57:35,0.9388099409512686,0.0,0.0,0.0,0.5431515443010809
Simplified_DenseNet_v5,Pleural_Thickening,2025-03-20 11:57:35,0.9673609759262864,0.0,0.0,0.0,0.718412625934759
Simplified_DenseNet_v5,Pneumonia,2025-03-20 11:57:35,0.9863733696710142,0.0,0.0,0.0,0.6068826925546879
Simplified_DenseNet_v5,Pneumothorax,2025-03-20 11:57:35,0.9454285899682046,0.2796610169491525,0.04182509505703422,0.07276736493936053,0.768521884571038
