model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc
DenseNet121_v1,Atelectasis,2025-03-22 22:43:21,0.8872883005645318,0.39285714285714285,0.019197207678883072,0.036605657237936774,0.7140681165309373
DenseNet121_v1,Cardiomegaly,2025-03-22 22:43:21,0.9613912140678736,0.30043859649122806,0.33171912832929784,0.31530494821634064,0.8641429833905215
DenseNet121_v1,Consolidation,2025-03-22 22:43:21,0.9554214522094607,0.0,0.0,0.0,0.7467335904465553
DenseNet121_v1,Edema,2025-03-22 22:43:21,0.9677503082214003,0.19123505976095617,0.14035087719298245,0.16188870151770657,0.8371058433350835
DenseNet121_v1,Effusion,2025-03-22 22:43:21,0.8776847706183895,0.5405405405405406,0.3326612903225806,0.4118564742589704,0.8406801030722882
DenseNet121_v1,Emphysema,2025-03-22 22:43:21,0.9689831938225942,0.2992125984251969,0.20212765957446807,0.24126984126984127,0.7990304537639127
DenseNet121_v1,Fibrosis,2025-03-22 22:43:21,0.955486340925313,0.06772908366533864,0.1349206349206349,0.09018567639257294,0.6909468627260038
DenseNet121_v1,Hernia,2025-03-22 22:43:21,0.9964311206281228,0.26666666666666666,0.35294117647058826,0.3037974683544304,0.8722672134471269
DenseNet121_v1,Infiltration,2025-03-22 22:43:21,0.8060476283174356,0.39732142857142855,0.030241250424736663,0.05620461004104831,0.6274091848424526
DenseNet121_v1,Mass,2025-03-22 22:43:21,0.9302446304587633,0.29343629343629346,0.1765389082462253,0.22044960116026105,0.7409411257588275
DenseNet121_v1,No Finding,2025-03-22 22:43:21,0.5054182077736682,0.8467153284671532,0.01503174808863548,0.029539088362617774,0.7383807297524776
DenseNet121_v1,Nodule,2025-03-22 22:43:21,0.9388099409512686,0.5,0.0010604453870625664,0.0021164021164021165,0.574899049527813
DenseNet121_v1,Pleural_Thickening,2025-03-22 22:43:21,0.9671663097787295,0.2857142857142857,0.003976143141153081,0.00784313725490196,0.7403874979263139
DenseNet121_v1,Pneumonia,2025-03-22 22:43:21,0.9863733696710142,0.0,0.0,0.0,0.587517738494648
DenseNet121_v1,Pneumothorax,2025-03-22 22:43:21,0.9354357277269483,0.3283333333333333,0.24968314321926488,0.2836573074154068,0.7917811919085067
