model_name,class_name,timestamp,accuracy,precision,recall,f1_score,auc
DenseNet121_v3_2,Atelectasis,2025-03-30 11:16:50,0.8828758678865746,0.41295546558704455,0.11867364746945899,0.184365115228197,0.7507634297094034
DenseNet121_v3_2,Cardiomegaly,2025-03-30 11:16:50,0.9703458568554928,0.4017857142857143,0.2179176755447942,0.282574568288854,0.8690585701983833
DenseNet121_v3_2,Consolidation,2025-03-30 11:16:50,0.9551618973460515,0.0,0.0,0.0,0.7613331292877742
DenseNet121_v3_2,Edema,2025-03-30 11:16:50,0.977613393030952,0.2857142857142857,0.005847953216374269,0.011461318051575931,0.8652584078152777
DenseNet121_v3_2,Effusion,2025-03-30 11:16:50,0.8833300888975407,0.5708841463414634,0.37752016129032256,0.4544902912621359,0.8571136493452047
DenseNet121_v3_2,Emphysema,2025-03-30 11:16:50,0.9714489650249821,0.3181818181818182,0.14893617021276595,0.2028985507246377,0.8243255099802588
DenseNet121_v3_2,Fibrosis,2025-03-30 11:16:50,0.9836480436052171,0.0,0.0,0.0,0.6878571271506161
DenseNet121_v3_2,Hernia,2025-03-30 11:16:50,0.9978586723768736,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.8526619205918695
DenseNet121_v3_2,Infiltration,2025-03-30 11:16:50,0.7893063396275388,0.3512720156555773,0.12198436969079171,0.1810844892812106,0.65526745410146
DenseNet121_v3_2,Mass,2025-03-30 11:16:50,0.9340730646940497,0.36660929432013767,0.24738675958188153,0.29542302357836336,0.7914702395919393
DenseNet121_v3_2,No Finding,2025-03-30 11:16:50,0.6819804036078126,0.7413438464175522,0.5604509524426591,0.6383292745922811,0.7561557806252431
DenseNet121_v3_2,Nodule,2025-03-30 11:16:50,0.9384206086561547,0.25,0.003181336161187699,0.0062827225130890054,0.6537019864074181
DenseNet121_v3_2,Pleural_Thickening,2025-03-30 11:16:50,0.966452533904354,0.26666666666666666,0.015904572564612324,0.0300187617260788,0.7405075850237988
DenseNet121_v3_2,Pneumonia,2025-03-30 11:16:50,0.9863733696710142,0.0,0.0,0.0,0.7275780728711456
DenseNet121_v3_2,Pneumothorax,2025-03-30 11:16:50,0.9379014989293362,0.36319218241042345,0.2826362484157161,0.3178902352102637,0.8273695261701771
